ID,Name,Content,Page_URL,Image_URL,Category
1,EV카드,전기차 이용자라면 꼭 필요한!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00230,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00230_img.png,적립/할인
2,캐시노트 KB 국민카드,캐시노트 월정액과 사업지원 할인을 동시에,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04291_img.png,적립/할인
3,WE:SH Travel,외화 충전·환전 없이 우대 환율로 결제되는,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09561,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09561_img.png,적립/할인
4,CU KB국민카드,CU 할인! 한번에 빠르게 쉽게~,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09060,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09060_img.png,적립/할인
5,K-패스카드,교통비 SAVE!! 생활서비스 할인 혜택까지~,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09321,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09321_img.png,적립/할인
6,WE:SH All 카드,Simple Life를 위한 모두의 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09122,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09122_img.png,적립/할인
7,My WE:SH 카드,나'의 행복을 위한 필수 혜택 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09123,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09123_img.png,적립/할인
8,Our WE:SH 카드,함께 사는 '우리'를 위한 필수 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09124,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09124_img.png,적립/할인
9,American Express Blue Card,매일 쓰는 영역 할인으로 내 생활에 착붙!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09115,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09115_img.png,적립/할인
10,American Express Rose Gold Card,KB Pay와 만나는 장밋빛 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09116,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09116_img.png,적립/할인
11,TMAP KB국민카드,"이용은 간편하게, 할인은 넉넉하게!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09389,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09389_img.png,적립/할인
12,KB Pay 챌린지카드,#간편결제 #택시 #편의점 #쇼핑 #배달,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09113,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09113_img.png,적립/할인
13,마이핏카드(적립형),#간편결제 #택시 #편의점 #쇼핑 #배달,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09247,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09247_img.png,적립/할인
14,톡톡 with 카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09272,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09272_img.png,적립/할인
15,toss KB국민카드,심플하고 쉽게 토스포인트 적립하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04350,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04350_img.png,적립/할인
16,마이핏카드(할인형),#외식 #편의점 #마트 #주유 #통신 #쇼핑 #배달,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09248,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09248_img.png,적립/할인
17,Easy on카드,"Food on, Music on, Shopping on 모두 할인 Easy on!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09244,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09244_img.png,적립/할인
18,삼성페이 KB국민카드,삼성 페이로 간편하게 할인받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04434,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04434_img.png,적립/할인
19,가온올림카드(실속형),"실적조건 없이 국내가맹점 적립, 해외가맹점 캐시백!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09157,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09157_img.png,적립/할인
20,톡톡 Pay카드,똑똑하게 할인 “톡톡”!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09231,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09231_img.png,적립/할인
21,가온글로벌카드,글로벌한 내 스타일을 담았다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09167,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09167_img.png,적립/할인
22,가온 Biz카드,"국내가맹점 기본적립, 사업지원영역 및 고액결제 추가적립!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09176,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09176_img.png,적립/할인
23,금융포인트리카드,쓸 때마다 쌓이는 금융포인트로 다양한 종합금융 혜택을!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09040,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09040_img.png,적립/할인
24,KB Pay 챌린지+카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09114,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09114_img.png,적립/할인
25,Wavve 카드,Wavve 이용권 결제 할 땐 !,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04287,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04287_img.png,적립/할인
26,갤러리아 KB국민카드,갤러리아 혜택을 한 장에 담아,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04491,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04491_img.png,적립/할인
27,LFmall 신용카드,스마트한 쇼핑 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09314,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09314_img.png,적립/할인
28,사장님카드,K-사장님의 든든한 사업 파트너,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09291_img.png,적립/할인
29,WE:SH Travel,외화 충전·환전 없이 우대 환율로 결제되는,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09561,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09561_img.png,여행
30,American Express Rose Gold Card,KB Pay와 만나는 장밋빛 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09116,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09116_img.png,여행
31,레고랜드매니아카드,레고에 진심인 분을 위한 혜택에 진심을 담은 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02228,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02228_img.png,여행
32,레고랜드카드,"즐거운 레고랜드에서도, 평범한 일상에서도",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02229,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02229_img.png,여행
33,스카이패스 티타늄 카드,대한항공 마일리지 기본적립에 해외/면세점 추가적립 혜택까지!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04285,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04285_img.png,여행
34,아시아나 올림카드,아시아나 마일리지 적립의 혜택을 올림,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09194,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09194_img.png,여행
35,Easy fly 티타늄카드,"여행은 Happy, 혜택은 Easy! Yes, you can fly!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09245,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09245_img.png,여행
36,제주항공 Refresh Point KB국민카드,합리적 여행자를 위한 Must Have 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04420,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04420_img.png,여행
37,모두투어 투어마일리지 KB국민카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04422,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04422_img.png,여행
38,하나투어 KB국민카드,신용카드와 하나투어 마일리지 클럽서비스를 하나로!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01234,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01234_img.png,여행
39,WE:SH Travel,외화 충전·환전 없이 우대 환율로 결제되는,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09561,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09561_img.png,쇼핑
40,WE:SH Daily 카드,데일리 스탬프 모으면 늘어나는 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09570,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09570_img.png,쇼핑
41,CU KB국민카드,CU 할인! 한번에 빠르고 쉽게~,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09060,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09060_img.png,쇼핑
42,American Express Blue Card,매일 쓰는 영역 할인으로 내 생활에 착붙!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09115,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09115_img.png,쇼핑
43,American Express Rose Gold Card,KB Pay와 만나는 장밋빛 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09116,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09116_img.png,쇼핑
44,이마트II KB국민카드(옐로우),다시 새롭게! 이마트!!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04361,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04361_img.png,쇼핑
45,LFmall 신용카드,스마트한 쇼핑 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09314,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09314_img.png,쇼핑
46,The CJ KB국민카드,계열사가 많은 알찬 CJ,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01142,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01142_img.png,쇼핑
47,탄탄대로 웰컴카드,국내 거주 외국인을 위한 일상에서 여가까지 다양한 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09214,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09214_img.png,쇼핑
48,롯데마트 KB국민카드,행복드림 롯데마트에서 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09180,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09180_img.png,쇼핑
49,CHALLENGE BAG KB국민카드,11번가에서 SK Pay 결제 하고 11% OK캐쉬백 적립!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04409,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04409_img.png,쇼핑
50,GS SHOP KB국민카드,"GS SHOP 12%, 월 최대 5만원 할인!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04431,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04431_img.png,쇼핑
51,AK KB국민카드,쇼핑에 강한 AK와 생활에 강한 KB의 특별한 만남!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04444,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04444_img.png,쇼핑
52,H.Point KB국민카드,현대백화점그룹 멤버십 혜택에 KB국민카드 혜택을 더하다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04415,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04415_img.png,쇼핑
53,사장님카드,K-사장님의 든든한 사업 파트너,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09291_img.png,쇼핑
54,EV 카드,전기차 이용자라면 꼭 필요한!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00230,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00230_img.png,주유/충전
55,캐시노트 KB국민카드,캐시노트 월정액과 사업지원 할인을 동시에,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04291_img.png,주유/충전
56,American Express Blue Card,매일 쓰는 영역 할인으로 내 생활에 착붙!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09115,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09115_img.png,주유/충전
57,EVO 티타늄카드,"Electric Vehicle Owners 전기차 오너들을 위한 친환경 생활, 기부 생활",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09267,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09267_img.png,주유/충전
58,Easy auto 티타늄카드,주유·정비·생활·보험! Easy하게 적립을 타고 달리는 기분!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09246,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09246_img.png,주유/충전
59,TMAP KB국민카드,"이용은 간편하게, 할인은 넉넉하게!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09389,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09389_img.png,주유/충전
