ID,Name,Content,Category,Page_URL,Interest_rate,Unnamed: 6
1.0,KB Star 정기예금,Digital KB의 대표 정기예금,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000938,"1~36개월, 연 2.7% ~ 3.4%",
2.0,국민수퍼정기예금(개인),가입 조건을 직접 설계하는,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000029,"36개월 기준, 연 2.7% ~ 2.8%",
3.0,KB국민UP정기예금,월복리로 목돈 굴리는 예금,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000338,,
4.0,양도성예금증서(CD),환급성·안정성 보장 금융상품,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000018,,
5.0,표지어음,단기자금 굴려 목돈 만들기,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000019,,
6.0,일반정기예금,목돈넣고 안정수익 마음든든,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000014,"36개월 기준, 연 2.5% ~ 2.5%",
7.0,환매조건부매도(RP),환금성이 보장된 채권투자,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000020,,
8.0,국민수퍼정기예금 (CD금리연동형),금리상승기에 유리한 예금,예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000214,,
,KB내맘대로적금,누구나 쉽게 우대받는 DIY,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000821,"36개월 기준, 연 3.15% ~ 3.75%",
,직장인우대적금,직장인의 알짜배기 재테크,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000228,"36개월 기준, 연 3.55% ~ 4.05%",
,KB장병내일준비적금,국군장병 미래준비 맞춤적금,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000939,"24개월 기준, 연 5% ~ 8%",
,KB맑은하늘적금,맑은하늘 만들고 금리도 Up,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000942,"36개월 기준, 연 3.05% ~ 4.05%",
,KB청년도약계좌,힘찬 미래 높은 도약,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001576,"60개월 기준, 연 4.5% ~ 6%",
,온국민 건강적금,걸으면서 쌓는 건강한 이자,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=Y&prcode=DP01001542,"6개월 기준, 연 2% ~ 8%",`
,KB 특★한 적금,우리 모두의 소중한 날을 위한 특별한 준비,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001566,"1개월 기준, 연 2% ~ 6%",
,KB아이사랑적금,아이 키우는 가정을 위한 응원,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=Y&prcode=DP01001587,"12개월 기준, 연 2% ~ 10%",
,KB스타퀴즈왕적금,퀴즈 풀면서 이자도 받는 똑똑한 적금,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=Y&prcode=DP01001585,"100일 기준, 연 2% ~ 10%",
,KB차차차 적금,KB와 함께할수록 금리가 차! 차! 차!,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001583,"12개월 기준, 연 2.5% ~ 8%",
,KB Young Youth 적금,어린이/청소년 무료 보험가입,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000940,"12개월 기준, 연 2.35% ~ 3.65%",
,KB상호부금(자유적립식),금액·기간 자유로운 목돈마련,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000085,"36개월 기준, 연 3.15% ~ 3.55%",
,KB두근두근여행적금,노랑풍선 최대 3만원 & 4% 할인쿠폰!,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001495,"6개월 기준, 연 2.9% ~ 3.9%",
,KB국민첫재테크적금,사회초년생 월복리 목돈적금,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000370,"36개월 기준, 연 3% ~ 3.5%",
,KB가맹점우대적금,현명한 가맹점주의 실속 선택,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000500,"36개월 기준, 연 3% ~ 3.5%",
,KB국민프리미엄적금 (자유적립식),단체가입/병역명문가 우대금리 제공,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000429,"60개월 기준, 연 3.15% ~ 4.45%",
,KB상호부금(정액적립식),최장 72개월 목돈마련 플랜,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000038,"36개월 기준, 연 3.25% ~ 3.65%",
,KB반려행복적금,반려동물과 추억도 쌓고 금리도 받고반려용품 할인쿠폰까지!!,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001491,"36개월 기준, 연 3.5% ~ 5%",
,KB국민행복적금,사회배려계층 행복 디딤돌,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000472,"12개월 기준, 연 3.75% ~ 5.75%",
,KB나라사랑적금(직업군인용),사관생도·직업군인 맞춤 적금,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000924,"36개월 기준, 연 2.1% ~ 5.6%",
,KB국민프리미엄적금 (정액적립식),단체가입/병역명문가 우대금리 제공,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000428,"60개월 기준, 연 3.25% ~ 4.55%",
,온국민 건강적금-골든라이프,활기찬 시니어를 위한 건강한 선택,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001578,"6개월 기준, 연 2% ~ 10%",
,일반정기적금,,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000021,"36개월 기준, 연 3.1% ~ 3.2%",
,KB미소드림적금,성실상환자 재기지원 적금,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000812,"36개월 기준, 연 4% ~ 5%",
,KB스타적금,한 달만 유지해도 확정이자율을 드리는,적금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=Y&prcode=DP01001595#loading,"12개월 기준, 연 2% ~ 8%",
